gene	drug.x	efo_terms	interaction_types	max_phase_for_ind	max_phase	eQTL_type	b_3	PPH4_3	b_m3	PPH4_m3	pQTL_3_beta	pQTL_3_SNP.PP.H4	pQTL_m3_beta	pQTL_m3_SNP.PP.H4	evidence_num	note	PMIDs	agingdrug	direction
ADRA2B	asenapine	bipolar disorder,psychosis,schizoaffective disorder,bipolar I disorder,Stuttering,schizophrenia	antagonist	4,3,3,4,3,4	4	Brain Tissue eQTL	0.392838469412958								1				Y
ADRA2B	bethanidine	hypertension		4	4	Brain Tissue eQTL	0.392838469412958								1				
ADRA2B	brimonidine	glaucoma,diabetic retinopathy,open-angle glaucoma,rosacea,dry eye syndrome,ocular hypertension,presbyopia,eye allergy	agonist	4,2,2,3,2,3,2,4	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	clonidine	attention deficit hyperactivity disorder,glaucoma,hypertension,pain,cardiovascular disease,neonatal abstinence syndrome,anxiety,opioid dependence,autism spectrum disorder,diabetic neuropathy,atopic eczema,cancer,cocaine dependence,pregnancy,drug dependence,heroin dependence,post-operative sign or symptom,hyperemesis gravidarum,scoliosis,orthostatic hypotension,cannabis dependence,delirium,fecal incontinence,orthostatic intolerance,brain ischemia,brain injury,oral mucositis,breast cancer,post-traumatic stress disorder,neuropathic pain,Low back pain,male reproductive organ cancer,musculoskeletal system disease,migraine disorder,hemorrhage	agonist	4,4,4,3,3,3,2,2,2,2,1,4,1,3,2,1,3,3,3,1,2,3,3,1,1,2,2,2,3,4,2,3,2,4,1	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	dopamine	cardiovascular disease,diabetes mellitus,heart failure,septic shock,Cognitive impairment,Shock,depressive disorder,premature birth,congenital heart disease,Parkinson disease		4,1,2,3,2,3,1,2,3,3	4	Brain Tissue eQTL	0.392838469412958								1				
ADRA2B	droxidopa	hypotension,orthostatic hypotension,fibromyalgia,cardiovascular disease,multiple system atrophy,attention deficit hyperactivity disorder,Parkinson disease	agonist	2,4,2,4,4,2,2	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	epinephrine	Nasal congestion,sudden cardiac arrest,Bronchiolitis,glaucoma,Airway obstruction,hemorrhage,cardiovascular disease,seasonal allergic rhinitis,urticaria,sudden cardiac arrest,angioedema,sinusitis,diabetes mellitus,infection,injury,heart failure,pain,hypospadias,ventricular fibrillation,acute lung injury,ventricular tachycardia,septic shock,pulpitis,rotator cuff tear,Rhinitis, Allergic, Perennial,Cognitive impairment,allergic rhinitis,non-small cell lung carcinoma,cardiac arrest,Gastrointestinal hemorrhage,osteoarthritis, knee,Hemoptysis,Shock,gastric cancer,benign muscle neoplasm,breast cancer,skin neoplasm,appendicitis,parathyroid adenoma,depressive disorder,muscle cramp,type III hypersensitivity reaction disease,Mydriasis,hypotension,male reproductive organ cancer,musculoskeletal system disease,tachypnea,Chronic pain,asthma,asthma,osteoarthritis,allergic disease,anaphylaxis	agonist	4,2,3,4,4,4,4,4,4,4,4,4,0.5,1,2,3,3,2,2,2,2,4,3,2,3,2,4,3,4,3,2,2,2,3,3,2,0.5,2,0.5,0.5,4,4,4,2,3,2,1,1,4,4,3,4,1	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	etomidate	hypertension,stroke,respiratory failure	agonist	3,3,2	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	fenoldopam	cardiovascular disease,hypertension,Acute kidney injury,kidney failure	antagonist	4,1,3,3	4	Brain Tissue eQTL	0.392838469412958								1				Y
ADRA2B	fipamezole	Parkinson disease		2	2	Brain Tissue eQTL	0.392838469412958								1				
ADRA2B	lofexidine	cocaine dependence,drug dependence,heroin dependence,opioid dependence,cannabis dependence,Hepatic failure,opioid use disorder	agonist	1,4,1,3,2,1,3	4	Brain Tissue eQTL	0.392838469412958								1				N
ADRA2B	methyldopa	preeclampsia,hypertension,type 1 diabetes mellitus	agonist	2,4,2	4	Brain Tissue eQTL	0.392838469412958								1				N
